setup,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop,target,pnl_pts,pnl_dollar
IB,SHORT,2024-04-04 14:00:00-04:00,5284.25,2024-04-04 14:05:00-04:00,5274.5,target,5300.35,5274.5,9.75,482.5
TX,SHORT,2024-04-08 11:15:00-04:00,5262.75,2024-04-08 11:35:00-04:00,5254.5,target,5278.79,5254.5,8.25,407.4
TX,SHORT,2024-04-08 13:40:00-04:00,5255.5,2024-04-08 13:55:00-04:00,5260.0,tema_exit,5271.52,5248.08,-4.5,-230.0
IB,SHORT,2024-04-09 10:35:00-04:00,5223.0,2024-04-09 10:40:00-04:00,5220.2,trail,5238.92,5205.48,2.8,135.17
IB,SHORT,2024-04-09 10:40:00-04:00,5213.75,2024-04-09 11:05:00-04:00,5224.75,tema_exit,5229.64,5193.85,-11.0,-555.0
IB,SHORT,2024-04-09 13:55:00-04:00,5232.5,2024-04-09 15:15:00-04:00,5233.47,trail,5248.45,5218.31,-0.97,-53.28
IB,SHORT,2024-04-10 13:05:00-04:00,5185.25,2024-04-10 13:20:00-04:00,5201.06,stop,5201.06,5165.79,-15.81,-795.32
IB,SHORT,2024-04-10 13:35:00-04:00,5189.5,2024-04-10 13:55:00-04:00,5203.62,stop,5203.62,5164.5,-14.12,-711.25
IB,SHORT,2024-04-10 14:55:00-04:00,5189.75,2024-04-10 15:10:00-04:00,5203.62,stop,5203.62,5164.75,-13.88,-698.75
IB,SHORT,2024-04-15 10:35:00-04:00,5176.25,2024-04-15 11:10:00-04:00,5172.0,tema_exit,5192.03,5154.71,4.25,207.5
IB,SHORT,2024-04-15 13:00:00-04:00,5158.5,2024-04-15 13:05:00-04:00,5163.0,tema_exit,5174.23,5139.71,-4.5,-230.0
IB,SHORT,2024-04-15 13:15:00-04:00,5145.0,2024-04-15 13:25:00-04:00,5134.04,trail,5160.69,5124.64,10.96,542.97
IB,SHORT,2024-04-16 10:35:00-04:00,5085.25,2024-04-16 10:50:00-04:00,5089.0,tema_exit,5098.75,5062.49,-3.75,-192.5
TX,SHORT,2024-04-16 13:25:00-04:00,5100.5,2024-04-16 13:30:00-04:00,5088.95,trail,5116.05,5087.05,11.55,572.42
TX,SHORT,2024-04-16 14:20:00-04:00,5087.75,2024-04-16 14:40:00-04:00,5100.75,tema_exit,5103.26,5065.87,-13.0,-655.0
IB,SHORT,2024-04-17 10:50:00-04:00,5080.5,2024-04-17 11:00:00-04:00,5095.99,stop,5095.99,5058.94,-15.49,-779.61
IB,SHORT,2024-04-17 11:15:00-04:00,5081.0,2024-04-17 11:20:00-04:00,5083.0,tema_exit,5096.49,5058.49,-2.0,-105.0
IB,SHORT,2024-04-17 11:25:00-04:00,5077.0,2024-04-17 11:30:00-04:00,5076.15,trail,5092.48,5054.35,0.85,37.28
IB,SHORT,2024-04-18 13:15:00-04:00,5049.5,2024-04-18 13:25:00-04:00,5051.85,trail,5063.5,5029.37,-2.35,-122.48
IB,SHORT,2024-04-18 13:30:00-04:00,5050.25,2024-04-18 13:35:00-04:00,5048.5,tema_exit,5063.5,5027.65,1.75,82.5
IB,SHORT,2024-04-22 10:50:00-04:00,5012.5,2024-04-22 11:20:00-04:00,5011.25,tema_exit,5024.12,4997.23,1.25,57.5
TX,SHORT,2024-04-23 14:30:00-04:00,5109.75,2024-04-23 15:00:00-04:00,5102.46,target,5125.33,5102.46,7.29,359.4
IB,SHORT,2024-04-24 10:35:00-04:00,5107.5,2024-04-24 11:15:00-04:00,5093.0,target,5117.38,5093.0,14.5,720.0
IB,SHORT,2024-04-24 11:15:00-04:00,5094.0,2024-04-24 11:30:00-04:00,5101.25,tema_exit,5109.53,5079.5,-7.25,-367.5
IB,SHORT,2024-04-24 14:25:00-04:00,5101.0,2024-04-24 15:10:00-04:00,5103.2,trail,5116.55,5086.5,-2.2,-115.13
TX,SHORT,2024-04-29 10:45:00-04:00,5143.5,2024-04-29 11:55:00-04:00,5143.75,tema_exit,5159.18,5134.92,-0.25,-17.5
IB,SHORT,2024-04-29 14:35:00-04:00,5136.25,2024-04-29 15:00:00-04:00,5130.77,trail,5145.5,5126.3,5.48,268.85
IB,SHORT,2024-04-30 11:00:00-04:00,5126.5,2024-04-30 11:05:00-04:00,5127.0,trail,5134.25,5112.75,-0.5,-30.17
IB,SHORT,2024-04-30 11:05:00-04:00,5118.5,2024-04-30 11:10:00-04:00,5119.49,trail,5134.11,5104.75,-0.99,-54.38
IB,SHORT,2024-04-30 11:10:00-04:00,5110.25,2024-04-30 11:55:00-04:00,5110.75,tema_exit,5125.83,5096.5,-0.5,-30.0
TX,SHORT,2024-05-01 11:10:00-04:00,5049.75,2024-05-01 11:35:00-04:00,5054.75,tema_exit,5065.15,5040.75,-5.0,-255.0
TX,SHORT,2024-05-01 11:50:00-04:00,5048.25,2024-05-01 12:10:00-04:00,5053.25,tema_exit,5063.65,5039.19,-5.0,-255.0
IB,SHORT,2024-05-01 13:10:00-04:00,5043.75,2024-05-01 13:20:00-04:00,5050.5,tema_exit,5053.38,5031.48,-6.75,-342.5
TX,SHORT,2024-05-07 13:45:00-04:00,5213.25,2024-05-07 14:30:00-04:00,5207.03,target,5229.14,5207.03,6.22,305.85
IB,SHORT,2024-05-07 14:30:00-04:00,5206.5,2024-05-07 14:40:00-04:00,5211.25,tema_exit,5215.38,5196.75,-4.75,-242.5
TX,SHORT,2024-05-08 13:15:00-04:00,5205.0,2024-05-08 13:40:00-04:00,5207.5,tema_exit,5220.87,5198.77,-2.5,-130.0
TX,SHORT,2024-05-09 13:20:00-04:00,5227.25,2024-05-09 13:25:00-04:00,5232.75,tema_exit,5243.18,5220.64,-5.5,-280.0
TX,SHORT,2024-05-09 13:45:00-04:00,5230.5,2024-05-09 14:25:00-04:00,5232.5,tema_exit,5246.44,5224.09,-2.0,-105.0
IB,SHORT,2024-05-13 11:35:00-04:00,5244.25,2024-05-13 11:45:00-04:00,5244.75,tema_exit,5255.25,5234.5,-0.5,-30.0
IB,SHORT,2024-05-13 13:00:00-04:00,5242.25,2024-05-13 13:15:00-04:00,5243.73,trail,5255.25,5232.5,-1.48,-79.25
IB,SHORT,2024-05-13 13:15:00-04:00,5243.0,2024-05-13 13:25:00-04:00,5245.0,tema_exit,5255.25,5233.25,-2.0,-105.0
TX,SHORT,2024-05-13 13:40:00-04:00,5241.5,2024-05-13 13:50:00-04:00,5242.0,tema_exit,5257.48,5236.05,-0.5,-30.0
TX,SHORT,2024-05-14 10:35:00-04:00,5246.25,2024-05-14 11:10:00-04:00,5253.5,tema_exit,5262.24,5235.76,-7.25,-367.5
TX,SHORT,2024-05-14 11:30:00-04:00,5249.5,2024-05-14 12:50:00-04:00,5244.0,tema_exit,5265.5,5240.59,5.5,270.0
TX,SHORT,2024-05-15 11:35:00-04:00,5313.5,2024-05-15 12:50:00-04:00,5320.25,tema_exit,5329.69,5306.0,-6.75,-342.5
TX,SHORT,2024-05-15 13:40:00-04:00,5323.25,2024-05-15 13:55:00-04:00,5325.5,tema_exit,5339.47,5318.02,-2.25,-117.5
IB,SHORT,2024-05-16 14:10:00-04:00,5324.25,2024-05-16 14:20:00-04:00,5330.0,tema_exit,5334.88,5311.25,-5.75,-292.5
TX,SHORT,2024-05-20 13:25:00-04:00,5335.75,2024-05-20 14:05:00-04:00,5330.43,target,5352.01,5330.43,5.32,260.97
TX,SHORT,2024-05-21 13:10:00-04:00,5329.75,2024-05-21 13:25:00-04:00,5333.25,tema_exit,5345.99,5325.08,-3.5,-180.0
TX,SHORT,2024-05-22 11:20:00-04:00,5341.25,2024-05-22 11:50:00-04:00,5337.33,target,5357.52,5337.33,3.92,191.08
TX,SHORT,2024-05-22 13:30:00-04:00,5338.5,2024-05-22 13:35:00-04:00,5334.66,target,5354.77,5334.66,3.84,186.95
IB,SHORT,2024-05-23 13:00:00-04:00,5321.0,2024-05-23 13:35:00-04:00,5316.89,trail,5337.21,5306.96,4.11,200.38
IB,SHORT,2024-05-23 13:35:00-04:00,5306.75,2024-05-23 14:00:00-04:00,5290.66,target,5322.92,5290.66,16.09,799.28
IB,SHORT,2024-05-23 14:00:00-04:00,5287.25,2024-05-23 14:30:00-04:00,5282.0,tema_exit,5303.36,5268.9,5.25,257.5
TX,SHORT,2024-05-28 10:35:00-04:00,5318.0,2024-05-28 10:40:00-04:00,5324.0,tema_exit,5334.2,5310.52,-6.0,-305.0
IB,SHORT,2024-05-28 13:50:00-04:00,5313.0,2024-05-28 14:30:00-04:00,5301.95,target,5323.62,5301.95,11.05,547.34
IB,SHORT,2024-05-28 14:30:00-04:00,5302.0,2024-05-28 14:55:00-04:00,5309.0,tema_exit,5318.16,5289.72,-7.0,-355.0
TX,SHORT,2024-05-29 13:05:00-04:00,5292.75,2024-05-29 13:50:00-04:00,5296.25,tema_exit,5308.88,5285.15,-3.5,-180.0
TX,SHORT,2024-05-29 14:25:00-04:00,5291.0,2024-05-29 15:10:00-04:00,5290.25,tema_exit,5307.12,5283.93,0.75,32.5
IB,SHORT,2024-05-30 11:00:00-04:00,5255.0,2024-05-30 11:10:00-04:00,5258.25,tema_exit,5266.12,5241.98,-3.25,-167.5
IB,SHORT,2024-06-03 10:40:00-04:00,5294.5,2024-06-03 10:55:00-04:00,5278.85,target,5304.12,5278.85,15.65,777.66
IB,SHORT,2024-06-03 10:55:00-04:00,5281.0,2024-06-03 11:15:00-04:00,5284.75,tema_exit,5297.09,5264.17,-3.75,-192.5
IB,SHORT,2024-06-04 11:30:00-04:00,5274.0,2024-06-04 12:15:00-04:00,5272.75,tema_exit,5287.88,5256.19,1.25,57.5
IB,SHORT,2024-06-06 11:30:00-04:00,5361.75,2024-06-06 12:05:00-04:00,5360.75,tema_exit,5367.75,5351.0,1.0,45.0
IB,SHORT,2024-06-06 14:00:00-04:00,5356.25,2024-06-06 14:10:00-04:00,5345.5,target,5367.75,5345.5,10.75,532.5
IB,SHORT,2024-06-06 14:10:00-04:00,5350.5,2024-06-06 14:40:00-04:00,5357.5,tema_exit,5366.8,5339.75,-7.0,-355.0
TX,SHORT,2024-06-10 14:15:00-04:00,5362.25,2024-06-10 14:45:00-04:00,5367.0,tema_exit,5378.59,5354.73,-4.75,-242.5
IB,SHORT,2024-06-24 13:30:00-04:00,5525.25,2024-06-24 13:40:00-04:00,5529.75,tema_exit,5542.08,5510.09,-4.5,-230.0
TX,SHORT,2024-06-25 10:50:00-04:00,5523.0,2024-06-25 11:10:00-04:00,5528.75,tema_exit,5539.82,5515.76,-5.75,-292.5
IB,SHORT,2024-06-25 13:00:00-04:00,5513.25,2024-06-25 13:10:00-04:00,5520.75,tema_exit,5523.25,5502.0,-7.5,-380.0
TX,SHORT,2024-06-26 14:35:00-04:00,5530.25,2024-06-26 14:45:00-04:00,5536.75,tema_exit,5547.09,5523.27,-6.5,-330.0
IB,SHORT,2024-06-27 11:30:00-04:00,5533.25,2024-06-27 11:55:00-04:00,5537.0,tema_exit,5545.75,5519.18,-3.75,-192.5
TX,SHORT,2024-06-27 13:15:00-04:00,5540.75,2024-06-27 13:20:00-04:00,5545.25,tema_exit,5557.62,5534.03,-4.5,-230.0
IB,SHORT,2024-06-27 14:00:00-04:00,5536.0,2024-06-27 14:50:00-04:00,5537.0,tema_exit,5545.75,5524.83,-1.0,-55.0
TX,SHORT,2024-07-01 14:25:00-04:00,5528.5,2024-07-01 15:10:00-04:00,5530.75,tema_exit,5545.34,5520.54,-2.25,-117.5
TX,SHORT,2024-07-02 14:30:00-04:00,5555.0,2024-07-02 15:50:00-04:00,5563.0,tema_exit,5571.92,5549.57,-8.0,-405.0
IB,SHORT,2024-07-08 10:40:00-04:00,5625.75,2024-07-08 11:10:00-04:00,5627.5,tema_exit,5632.0,5615.0,-1.75,-92.5
IB,SHORT,2024-07-08 11:35:00-04:00,5623.75,2024-07-08 11:45:00-04:00,5626.0,tema_exit,5632.0,5613.0,-2.25,-117.5
IB,SHORT,2024-07-08 14:40:00-04:00,5618.75,2024-07-08 15:40:00-04:00,5623.5,tema_exit,5632.0,5608.0,-4.75,-242.5
TX,SHORT,2024-07-09 10:55:00-04:00,5636.75,2024-07-09 11:45:00-04:00,5637.0,tema_exit,5653.91,5630.6,-0.25,-17.5
TX,SHORT,2024-07-09 13:15:00-04:00,5634.75,2024-07-09 14:35:00-04:00,5633.25,tema_exit,5651.9,5627.64,1.5,70.0
IB,SHORT,2024-07-11 10:40:00-04:00,5663.5,2024-07-11 11:10:00-04:00,5660.75,tema_exit,5680.38,5645.93,2.75,132.5
IB,SHORT,2024-07-11 11:20:00-04:00,5646.0,2024-07-11 11:40:00-04:00,5643.0,tema_exit,5663.19,5625.63,3.0,145.0
